Tue Mar 28 01:14:23 2023    ./matching/matching.prof

         475422889 function calls (475422840 primitive calls) in 309.438 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)       
   800000    0.349    0.000    0.479    0.000 factorgraph.py:141(<listcomp>)  
   400000    0.337    0.000    0.889    0.000 factorgraph.py:96(__init__)     
  4100070    0.337    0.000    0.337    0.000 {method 'append' of 'list' objects}
   400000    0.334    0.000    3.605    0.000 factorgraph.py:109(__init__)    
   800000    0.332    0.000    0.455    0.000 factorgraph.py:157(<listcomp>)  
   800002    0.330    0.000    0.453    0.000 mathematics.py:55(sigma)        
   400000    0.308    0.000    0.611    0.000 strategy.py:33(__init__)        
  2534944    0.300    0.000    0.300    0.000 {built-in method math.exp}      
   200000    0.290    0.000    0.901    0.000 {method 'load_strategy' of 'bitboard.bitothello.OthelloGameC' objects}
   200000    0.284    0.000   74.595    0.000 trueskill_.py:58(update_rating) 
     2131    0.273    0.000    0.273    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   400000    0.249    0.000    2.356    0.000 __init__.py:353(build_team_diff_layer)
   383132    0.241    0.000    1.505    0.000 __init__.py:221(w_win)
   800000    0.241    0.000    0.241    0.000 factorgraph.py:115(calc_a)      
   200000    0.230    0.000    0.683    0.000 __init__.py:331(<listcomp>)     
   200000    0.212    0.000    1.722    0.000 __init__.py:70(calc_draw_margin)   200000    0.175    0.000    1.483    0.000 backends.py:50(ppf)
   100000    0.167    0.000  163.010    0.002 QL_training.py:43(matching)     
   200000    0.156    0.000    0.450    0.000 __init__.py:332(<listcomp>)     
   800000    0.147    0.000    0.250    0.000 __init__.py:493(<genexpr>)      
   100000    0.140    0.000    0.787    0.000 std.py:1212(update)
   200000    0.139    0.000    0.397    0.000 __init__.py:333(<listcomp>)     
   200000    0.135    0.000    0.163    0.000 __init__.py:294(<listcomp>)     
  1004251    0.126    0.000    0.126    0.000 {built-in method builtins.isinstance}
   200000    0.105    0.000    0.269    0.000 __init__.py:292(validate_weights)
   200000    0.088    0.000    0.088    0.000 __init__.py:663(global_env)     
   600000    0.087    0.000    0.087    0.000 __init__.py:508(<genexpr>)      
   200000    0.085    0.000    0.224    0.000 __init__.py:334(<listcomp>)     
   200000    0.084    0.000    0.084    0.000 {built-in method math.log}      
   200000    0.076    0.000    0.156    0.000 __init__.py:1436(info)
   422308    0.065    0.000    0.092    0.000 utils.py:330(<genexpr>)
   600000    0.060    0.000    0.060    0.000 random.py:29(__init__)
   400000    0.055    0.000    0.055    0.000 __init__.py:485(<lambda>)       
    33736    0.050    0.000    0.229    0.000 __init__.py:213(v_draw)
   400003    0.050    0.000    0.050    0.000 {method 'extend' of 'list' objects}
     2092    0.048    0.000    0.211    0.000 std.py:355(format_meter)        
   200000    0.048    0.000    0.048    0.000 __init__.py:511(<listcomp>)
   400000    0.043    0.000    0.043    0.000 __init__.py:507(<lambda>)       
   200000    0.042    0.000    0.042    0.000 {method 'auto_mode' of 'bitboard.bitothello.OthelloGameC' objects}
   400000    0.041    0.000    0.041    0.000 {method 'return_turn' of 'bitboard.bitothello.OthelloGameC' objects}
    16868    0.035    0.000    0.218    0.000 __init__.py:232(w_draw)
       24    0.034    0.001    0.034    0.001 {built-in method io.open}       
   200000    0.031    0.000    0.031    0.000 {built-in method builtins.callable}
   416032    0.027    0.000    0.027    0.000 {built-in method unicodedata.east_asian_width}
   200000    0.027    0.000    0.027    0.000 qlearning.py:85(return_dict)    
   200000    0.026    0.000    0.026    0.000 {method 'pop' of 'set' objects} 
    16781    0.025    0.000    0.034    0.000 {method 'format' of 'str' objects}
    12541    0.014    0.000    0.014    0.000 std.py:233(__call__)
     2092    0.009    0.000    0.012    0.000 std.py:1460(format_dict)        
     2092    0.009    0.000    0.231    0.000 std.py:1164(__str__)
     2091    0.008    0.000    0.633    0.000 std.py:1339(refresh)
     4184    0.008    0.000    0.012    0.000 utils.py:222(_is_ascii)
     2112    0.008    0.000    0.301    0.000 ansitowin32.py:185(write_and_convert)
     6276    0.007    0.000    0.007    0.000 {method 'sub' of 're.Pattern' objects}
     2092    0.007    0.000    0.008    0.000 std.py:188(__format__)
     2112    0.007    0.000    0.009    0.000 ansitowin32.py:253(convert_osc) 
     2112    0.006    0.000    0.283    0.000 ansitowin32.py:201(write_plain_text)
     2095    0.006    0.000    0.006    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
     2092    0.006    0.000    0.602    0.000 std.py:1478(display)
     2095    0.006    0.000    0.013    0.000 std.py:104(acquire)
     4183    0.006    0.000    0.015    0.000 std.py:288(format_interval)     
     2092    0.006    0.000    0.315    0.000 std.py:342(fp_write)
     2095    0.006    0.000    0.009    0.000 std.py:108(release)
     6276    0.005    0.000    0.139    0.000 utils.py:333(disp_len)
        1    0.005    0.005  309.438  309.438 <string>:1(<module>)
