Sat Mar 25 03:00:47 2023    ./matching/matching.prof

         82278 function calls in 9.543 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       55    0.000    0.000    0.004    0.000 ansitowin32.py:168(write)
       30    0.000    0.000    0.000    0.000 __init__.py:70(calc_draw_margin)
       60    0.000    0.000    0.002    0.000 __init__.py:388(build)
       60    0.000    0.000    0.000    0.000 factorgraph.py:109(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _pickle.dump}
       65    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      120    0.000    0.000    0.000    0.000 factorgraph.py:157(<listcomp>)
       22    0.000    0.000    0.000    0.000 utils.py:222(_is_ascii)
       11    0.000    0.000    0.002    0.000 std.py:342(fp_write)
       10    0.000    0.000    0.004    0.000 std.py:1339(refresh)
       60    0.000    0.000    0.000    0.000 __init__.py:353(build_team_diff_layer)
      173    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       55    0.000    0.000    0.004    0.000 ansitowin32.py:46(write)
       22    0.000    0.000    0.000    0.000 std.py:288(format_interval)
      120    0.000    0.000    0.000    0.000 factorgraph.py:115(calc_a)
        1    0.000    0.000    9.543    9.543 {built-in method builtins.exec}
       33    0.000    0.000    0.001    0.000 utils.py:333(disp_len)
       11    0.000    0.000    0.000    0.000 std.py:188(__format__)
       50    0.000    0.000    0.000    0.000 __init__.py:221(w_win)
       30    0.000    0.000    0.000    0.000 factorgraph.py:183(__init__)
       30    0.000    0.000    0.000    0.000 __init__.py:292(validate_weights)
       30    0.000    0.000    0.000    0.000 __init__.py:294(<listcomp>)
       12    0.000    0.000    0.000    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
       12    0.000    0.000    0.000    0.000 std.py:108(release)
       20    0.000    0.000    0.000    0.000 __init__.py:213(v_draw)
       30    0.000    0.000    0.000    0.000 backends.py:50(ppf)
      120    0.000    0.000    0.000    0.000 __init__.py:493(<genexpr>)
       33    0.000    0.000    0.001    0.000 utils.py:329(_text_width)
       30    0.000    0.000    0.000    0.000 __init__.py:1436(info)
        1    0.000    0.000    0.002    0.002 trueskill_.py:48(printer)
       24    0.000    0.000    0.002    0.000 utils.py:143(inner)
       11    0.000    0.000    0.000    0.000 std.py:155(__init__)
       11    0.000    0.000    0.002    0.000 std.py:348(print_status)
       30    0.000    0.000    0.000    0.000 __init__.py:332(<listcomp>)
        1    0.000    0.000    0.000    0.000 copyreg.py:103(_slotnames)
       30    0.000    0.000    0.000    0.000 __init__.py:663(global_env)
       30    0.000    0.000    0.000    0.000 __init__.py:333(<listcomp>)
       30    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       10    0.000    0.000    0.000    0.000 __init__.py:232(w_draw)
       30    0.000    0.000    0.000    0.000 {built-in method math.log}
      231    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       36    0.000    0.000    0.000    0.000 {built-in method time.time}
       30    0.000    0.000    0.000    0.000 {method 'auto_mode' of 'bitboard.bitothello.OthelloGameC' objects}
       12    0.000    0.000    0.000    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
